cps,kbps,num_active,num_icmp,num_tcp,num_udp,pps
0,386,1001,0,1001,0,544
0,386,1001,0,1001,0,544
0,414,1002,0,1002,0,526
0,335,1002,0,1002,0,510
0,298,1002,0,1002,0,450
0,298,1002,0,1002,0,450
0,455,1002,0,1002,0,602
0,307,1002,0,1002,0,396
0,304,1002,0,1002,0,260
0,105,1002,0,1002,0,84
0,297,1002,0,1002,0,404
0,264,1002,0,1002,0,374
0,291,1002,0,1002,0,254
2,1397,1003,0,1003,0,2144
0,104,1003,0,1003,0,48
0,104,1003,0,1003,0,48
0,49,1003,0,1003,0,22
0,23,1003,0,1003,0,22
0,0,1003,0,1003,0,0
0,1102,1003,0,1003,0,970
0,818,1003,0,1003,0,742
0,847,1003,0,1003,0,518
0,496,1003,0,1003,0,220
0,16,1003,0,1003,0,16
0,16,1003,0,1003,0,16
0,200,1002,0,1002,0,112
0,9,1002,0,1002,0,10
0,419,1002,0,1002,0,262
0,227,1002,0,1002,0,182
0,0,904,0,904,0,0
0,88,904,0,904,0,88
0,0,846,0,846,0,0
0,0,710,0,710,0,0
0,0,710,0,710,0,0
0,246,710,0,710,0,154
0,49,710,0,710,0,22
2,1695,711,0,711,0,2662
0,58,809,0,809,0,30
392,298,907,0,907,0,452
174,704,994,0,994,0,720
18,750,1003,0,1003,0,346
18,750,1003,0,1003,0,346
0,387,1003,0,1003,0,176
0,0,1003,0,1003,0,0
0,384,1003,0,1003,0,176
0,0,1003,0,1003,0,0
2,22,1004,0,1004,0,22
0,367,1004,0,1004,0,166
0,12,1004,0,1004,0,10
0,89,932,0,932,0,44
0,38,808,0,808,0,24
0,38,808,0,808,0,24
0,0,799,0,799,0,0
0,12,799,0,799,0,10
0,0,799,0,799,0,0
0,376,799,0,799,0,174
0,0,799,0,799,0,0
2,1666,800,0,800,0,2646
0,1,800,0,800,0,2
0,12,800,0,800,0,10
0,12,800,0,800,0,10
0,0,800,0,800,0,0
0,15,800,0,800,0,14
0,105,800,0,800,0,76
0,12,800,0,800,0,10
0,143,800,0,800,0,106
0,25,800,0,800,0,20
2,124,801,0,801,0,102
0,523,800,0,800,0,366
0,350,798,0,798,0,286
0,2,794,0,794,0,4
196,1395,989,0,989,0,1300
196,282,989,0,989,0,292
18,640,997,0,997,0,480
0,179,997,0,997,0,124
0,214,997,0,997,0,164
2,1640,997,0,997,0,2600
2,1640,997,0,997,0,2600
0,23,996,0,996,0,12
0,81,996,0,996,0,36
0,16,995,0,995,0,16
0,2,995,0,995,0,4
0,72,896,0,896,0,60
0,12,896,0,896,0,10
0,0,895,0,895,0,0
0,119,895,0,895,0,88
0,21,895,0,895,0,40
2,25,895,0,895,0,34
0,13,895,0,895,0,12
0,13,894,0,894,0,12
0,0,894,0,894,0,0
0,8,893,0,893,0,10
0,15,893,0,893,0,14
0,0,889,0,889,0,0
0,12,889,0,889,0,10
0,242,883,0,883,0,116
0,26,883,0,883,0,16
0,0,874,0,874,0,0
2,1651,875,0,875,0,2598
0,1,865,0,865,0,2
0,66,865,0,865,0,38
0,0,833,0,833,0,0
0,15,833,0,833,0,14
0,0,821,0,821,0,0
0,25,801,0,801,0,20
0,115,790,0,790,0,212
0,115,769,0,769,0,212
0,50,769,0,769,0,40
0,0,761,0,761,0,0
2,111,762,0,762,0,92
0,1,762,0,762,0,2
0,203,762,0,762,0,160
0,0,761,0,761,0,0
0,408,761,0,761,0,324
0,0,760,0,760,0,0
0,406,755,0,755,0,320
0,406,755,0,755,0,320
0,0,754,0,754,0,0
0,380,754,0,754,0,300
0,25,754,0,754,0,20
2,1355,754,0,754,0,2104
0,145,753,0,753,0,114
0,50,753,0,753,0,40
0,0,752,0,752,0,0
0,2,752,0,752,0,4
0,22,751,0,751,0,18
0,50,751,0,751,0,40
0,25,751,0,751,0,20
0,89,750,0,750,0,80
0,12,749,0,749,0,10
2,9,750,0,750,0,12
2,9,750,0,750,0,12
0,13,749,0,749,0,12
0,0,749,0,749,0,0
